date,doy,gro131,gro132,gro134,gro136,gro137
5/10/22,130,0,0,0,0,0
5/11/22,131,0,0,0,0,0
5/12/22,132,0,0,0,0,0
5/13/22,133,0,0,0,0,0
5/14/22,134,0,0,0,0,0
5/15/22,135,0,0,0,0,0
5/16/22,136,0,0,0,0,0
5/17/22,137,0,0,0,0,0
5/18/22,138,0,0,0,0,0
5/19/22,139,0,0,0,0,0
5/20/22,140,0,0,0,0,0
5/21/22,141,0,0,0,0,0
5/22/22,142,0,0,0,0,0
5/23/22,143,0,0,0,0,0
5/24/22,144,0,0,0,0,0
5/25/22,145,0,0,0,0,0
5/26/22,146,0,0,0,0,0
5/27/22,147,0,0,0,0,0
5/28/22,148,0,0,0,0,0
5/29/22,149,0,0,0,0,0
5/30/22,150,0,0,0,0,0
5/31/22,151,0,0,0,0,0
6/1/22,152,0,0,0,0,0
6/2/22,153,0,0,0,0,0
6/3/22,154,0,0,0,0,0
6/4/22,155,0,0,0,0,0
6/5/22,156,0,0,0,0,0
6/6/22,157,0,0,0,0,0
6/7/22,158,0,0,0,0,0
6/8/22,159,0,0,0,0,0
6/9/22,160,0,0,0,0,0
6/10/22,161,0,0,0,0,0
6/11/22,162,0,0,0,0,0
6/12/22,163,0,0,0,0,0
6/13/22,164,0,0,0,0,0
6/14/22,165,0,0,0,0,0
6/15/22,166,0,478,0,0,0
6/16/22,167,0,480,0,0,8
6/17/22,168,0,507,0,0,10
6/18/22,169,0,507,0,0,11
6/19/22,170,0,507,0,0,11
6/20/22,171,0,516,0,0,13
6/21/22,172,0,526,0,109,13
6/22/22,173,0,546,0,188,13
6/23/22,174,0,580,0,190,13
6/24/22,175,0,593,0,214,14
6/25/22,176,0,629,0,232,14
6/26/22,177,0,658,0,242,14
6/27/22,178,0,699,0,256,14
6/28/22,179,0,718,0,266,14
6/29/22,180,0,772,0,310,22
6/30/22,181,0,802,0,344,33
7/1/22,182,0,847,0,369,40
7/2/22,183,0,908,0,411,54
7/3/22,184,0,937,0,445,59
7/4/22,185,0,985,0,499,74
7/5/22,186,0,1014,0,528,83
7/6/22,187,0,1155,1,611,94
7/7/22,188,0,1155,6,635,101
7/8/22,189,0,1179,9,668,114
7/9/22,190,0,1208,9,715,123
7/10/22,191,0,1224,9,747,131
7/11/22,192,0,1262,9,813,143
7/12/22,193,0,1272,11,863,156
7/13/22,194,0,1275,14,908,166
7/14/22,195,0,1305,53,969,187
7/15/22,196,0,1330,86,1011,237
7/16/22,197,38,1349,110,1065,255
7/17/22,198,77,1386,144,1105,273
7/18/22,199,109,1403,167,1155,292
7/19/22,200,140,1420,186,1190,307
7/20/22,201,179,1420,205,1225,322
7/21/22,202,215,1420,217,1246,338
7/22/22,203,245,1426,221,1263,355
7/23/22,204,292,1443,292,1318,439
7/24/22,205,333,1453,318,1347,451
7/25/22,206,358,1455,351,1370,462
7/26/22,207,396,1455,354,1389,469
7/27/22,208,441,1455,381,1408,479
7/28/22,209,474,1455,400,1434,494
7/29/22,210,517,1455,436,1454,512
7/30/22,211,550,1455,436,1460,526
7/31/22,212,577,1455,465,1461,532
8/1/22,213,603,1455,478,1463,543
8/2/22,214,633,1455,480,1472,549
8/3/22,215,651,1455,484,1504,555
8/4/22,216,691,1455,484,1516,560
8/5/22,217,691,1455,493,1539,565
8/6/22,218,701,1455,497,1561,570
8/7/22,219,715,1455,500,1589,575
8/8/22,220,734,1455,503,1598,578
8/9/22,221,751,1455,540,1603,584
8/10/22,222,767,1455,583,1626,595
8/11/22,223,771,1455,583,1638,607
8/12/22,224,828,1504,583,1726,614
8/13/22,225,828,1504,583,1726,619
8/14/22,226,828,1504,583,1726,621
8/15/22,227,828,1504,583,1726,621
8/16/22,228,833,1504,583,1729,621
8/17/22,229,843,1504,583,1734,621
8/18/22,230,852,1504,583,1734,621
8/19/22,231,852,1504,583,1734,621
8/20/22,232,852,1504,583,1736,621
8/21/22,233,863,1504,583,1748,622
8/22/22,234,870,1504,583,1748,622
8/23/22,235,871,1504,583,1748,622
8/24/22,236,871,1504,583,1802,622
8/25/22,237,871,1504,583,1807,622
8/26/22,238,871,1504,583,1807,622
8/27/22,239,871,1504,583,1807,622
8/28/22,240,871,1504,583,1807,622
8/29/22,241,871,1504,583,1810,622
