"","DateTime","gro","doy","twd"
"1",2022-05-10,0,130,0
"2",2022-05-11,0,131,0
"3",2022-05-12,0,132,0
"4",2022-05-13,0,133,0
"5",2022-05-14,0,134,0
"6",2022-05-15,0,135,0
"7",2022-05-16,0,136,0
"8",2022-05-17,0,137,0
"9",2022-05-18,0,138,0
"10",2022-05-19,0,139,0
"11",2022-05-20,0,140,0
"12",2022-05-21,0,141,0
"13",2022-05-22,0,142,0
"14",2022-05-23,0,143,0
"15",2022-05-24,0,144,0
"16",2022-05-25,0,145,0
"17",2022-05-26,0,146,0
"18",2022-05-27,0,147,0
"19",2022-05-28,0,148,0
"20",2022-05-29,0,149,0
"21",2022-05-30,0,150,0
"22",2022-05-31,0,151,0
"23",2022-06-01,0,152,0
"24",2022-06-02,0,153,0
"25",2022-06-03,0,154,0
"26",2022-06-04,0,155,0
"27",2022-06-05,0,156,0
"28",2022-06-06,0,157,0
"29",2022-06-07,0,158,0
"30",2022-06-08,0,159,0
"31",2022-06-09,0,160,0
"32",2022-06-10,0,161,0
"33",2022-06-11,0,162,0
"34",2022-06-12,0,163,0
"35",2022-06-13,0,164,0
"36",2022-06-14,0,165,0
"37",2022-06-15,0,166,0
"38",2022-06-16,0,167,0
"39",2022-06-17,0,168,78
"40",2022-06-18,0,169,61
"41",2022-06-19,0,170,58
"42",2022-06-20,0,171,56
"43",2022-06-21,0,172,59
"44",2022-06-22,0,173,79
"45",2022-06-23,0,174,122
"46",2022-06-24,0,175,137
"47",2022-06-25,0,176,138
"48",2022-06-26,0,177,149
"49",2022-06-27,0,178,171
"50",2022-06-28,0,179,197
"51",2022-06-29,0,180,194
"52",2022-06-30,0,181,193
"53",2022-07-01,0,182,193
"54",2022-07-02,0,183,194
"55",2022-07-03,0,184,196
"56",2022-07-04,0,185,192
"57",2022-07-05,0,186,194
"58",2022-07-06,0,187,160
"59",2022-07-07,0,188,180
"60",2022-07-08,0,189,162
"61",2022-07-09,0,190,153
"62",2022-07-10,0,191,143
"63",2022-07-11,0,192,112
"64",2022-07-12,0,193,95
"65",2022-07-13,0,194,62
"66",2022-07-14,0,195,20
"67",2022-07-15,9,196,0
"68",2022-07-16,50,197,0
"69",2022-07-17,89,198,0
"70",2022-07-18,121,199,0
"71",2022-07-19,152,200,0
"72",2022-07-20,191,201,0
"73",2022-07-21,227,202,0
"74",2022-07-22,257,203,0
"75",2022-07-23,304,204,0
"76",2022-07-24,345,205,0
"77",2022-07-25,370,206,0
"78",2022-07-26,408,207,0
"79",2022-07-27,453,208,0
"80",2022-07-28,486,209,0
"81",2022-07-29,529,210,0
"82",2022-07-30,562,211,0
"83",2022-07-31,589,212,0
"84",2022-08-01,615,213,0
"85",2022-08-02,645,214,0
"86",2022-08-03,663,215,0
"87",2022-08-04,703,216,0
"88",2022-08-05,703,217,2
"89",2022-08-06,713,218,0
"90",2022-08-07,727,219,0
"91",2022-08-08,746,220,0
"92",2022-08-09,763,221,0
"93",2022-08-10,779,222,0
"94",2022-08-11,783,223,0
"95",2022-08-12,840,224,0
"96",2022-08-13,840,225,23
"97",2022-08-14,840,226,15
"98",2022-08-15,840,227,4
"99",2022-08-16,845,228,0
"100",2022-08-17,855,229,0
"101",2022-08-18,864,230,0
"102",2022-08-19,864,231,3
"103",2022-08-20,864,232,0
"104",2022-08-21,875,233,0
"105",2022-08-22,882,234,0
"106",2022-08-23,883,235,0
"107",2022-08-24,883,236,14
"108",2022-08-25,883,237,12
"109",2022-08-26,883,238,11
"110",2022-08-27,883,239,14
"111",2022-08-28,883,240,17
"112",2022-08-29,883,241,22
"113",2022-08-30,883,242,24
"114",2022-08-31,883,243,27
"115",2022-09-01,883,244,29
"116",2022-09-02,883,245,33
"117",2022-09-03,883,246,44
"118",2022-09-04,883,247,52
"119",2022-09-05,883,248,56
"120",2022-09-06,883,249,59
"121",2022-09-07,883,250,63
"122",2022-09-08,883,251,60
"123",2022-09-09,883,252,68
"124",2022-09-10,883,253,73
"125",2022-09-11,883,254,71
"126",2022-09-12,883,255,71
"127",2022-09-13,883,256,68
"128",2022-09-14,883,257,63
"129",2022-09-15,883,258,58
"130",2022-09-16,883,259,53
"131",2022-09-17,883,260,47
"132",2022-09-18,883,261,49
"133",2022-09-19,883,262,46
"134",2022-09-20,883,263,52
"135",2022-09-21,883,264,65
"136",2022-09-22,883,265,69
"137",2022-09-23,883,266,73
"138",2022-09-24,883,267,78
"139",2022-09-25,883,268,84
"140",2022-09-26,883,269,91
"141",2022-09-27,883,270,95
"142",2022-09-28,883,271,97
"143",2022-09-29,883,272,100
